collection_slot_utc,fetched_at_utc,fetched_at_local,source_time,station_code,station_name,latitude,longitude,elevation_m,data_available,observation_count,Air Temperature (1.2m) [C],Air Temperature (5cm) [C],Extreme Day Max. Temp. [C],Extreme Day Min. Temp. [C],Wind Speed (10m) [Knots],Wind Speed (2m) [Knots],Direct Solar Radiation [W/m2],Global Radiation [W/m2],Wind Direction (10m) [Deg.],Rec. Light Work Load [%],Rec. Medium Work Load [%],Rec. Heavy Work Load [%],Relative Humidity (1.2m) [%],Accumulated Rainfall (10 min.) [mm],Atmospheric Pressure (Station Level) [hPa],24HR Rain Total [mm],Wind Speed (10m) [m/s],Wind Speed (2m) [m/s],other_observations_json
2026-07-27T14:00:00+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27T14:01:03.208902+00:00,2026-07-27 16:50 (Local Time),FARMAKAS,,,,,1,10,30.8,,34.8,17.2,6.6,1.7,861.0,562.0,15.0,,,,24.0,0.0,,,3.39533,,
2026-07-27T15:20:00+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27T15:20:45.659008+00:00,2026-07-27 18:10 (Local Time),FARMAKAS,,,,,1,10,27.7,,34.8,17.2,5.5,1.7,784.0,280.0,4.0,,,,32.0,0.0,,,2.829442,,
2026-07-27T17:10:00+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27T17:10:45.025144+00:00,2026-07-27 20:00 (Local Time),FARMAKAS,,,,,1,10,23.1,,34.8,17.2,6.4,0.6,2.0,0.0,30.0,,,,47.0,0.0,,,3.292442,,
2026-07-27T18:40:00+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27T18:46:34.634532+00:00,2026-07-27 21:40 (Local Time),FARMAKAS,,,,,1,10,20.0,,21.3,19.9,3.0,1.4,2.0,0.0,171.0,,,,59.0,0.0,,,1.543332,,
2026-07-27T20:00:00+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27T20:09:49.407489+00:00,2026-07-27 23:00 (Local Time),FARMAKAS,,,,,1,10,19.2,,21.3,19.1,1.4,1.2,2.0,0.0,170.0,,,,65.0,0.0,,,0.720222,,
2026-07-27T21:20:00+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-27T21:29:23.171522+00:00,2026-07-28 00:20 (Local Time),FARMAKAS,,,,,1,10,18.9,,21.3,18.7,1.9,1.3,2.0,0.0,153.0,,,,54.0,0.0,,,0.977444,,
2026-07-27T22:30:00+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-27T22:35:55.398417+00:00,2026-07-28 01:30 (Local Time),FARMAKAS,,,,,1,10,19.1,,21.3,18.3,2.0,1.4,2.0,0.0,190.0,,,,46.0,0.0,,,1.028888,,
2026-07-27T23:40:00+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-27T23:40:27.310979+00:00,2026-07-28 02:30 (Local Time),FARMAKAS,,,,,1,10,20.0,,21.3,18.3,2.9,1.7,2.0,0.0,160.0,,,,40.0,0.0,,,1.491888,,
2026-07-28T01:00:00+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28T01:02:59.564867+00:00,2026-07-28 03:50 (Local Time),FARMAKAS,,,,,1,10,20.1,,21.3,18.3,1.8,1.6,2.0,0.0,157.0,,,,41.0,0.0,,,0.925999,,
2026-07-28T04:10:00+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28T04:17:58.270666+00:00,2026-07-28 07:10 (Local Time),FARMAKAS,,,,,1,10,20.9,,21.3,18.3,0.5,0.4,9.0,8.0,62.0,,,,39.0,0.0,,,0.257222,,
2026-07-28T06:40:00+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28T06:46:06.865370+00:00,2026-07-28 09:40 (Local Time),FARMAKAS,,,,,1,10,32.8,,33.0,18.3,8.4,1.3,729.0,676.0,21.0,,,,18.0,0.0,,,4.32133,,
2026-07-28T09:20:00+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28T09:28:05.971534+00:00,2026-07-28 12:20 (Local Time),FARMAKAS,,,,,1,10,36.1,,36.8,18.3,6.5,2.0,796.0,981.0,10.0,,,,15.0,0.0,,,3.343886,,
2026-07-28T11:30:00+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28T11:37:11.939937+00:00,2026-07-28 14:30 (Local Time),FARMAKAS,,,,,1,10,36.8,,37.6,18.3,9.2,2.0,817.0,903.0,18.0,,,,17.0,0.0,,,4.732885,,
2026-07-28T13:10:00+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28T13:16:37.034686+00:00,2026-07-28 16:10 (Local Time),FARMAKAS,,,,,1,10,35.9,,37.8,18.3,4.0,1.5,847.0,669.0,8.0,,,,18.0,0.0,,,2.057776,,
2026-07-28T15:30:00+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28T15:36:34.051595+00:00,2026-07-28 18:30 (Local Time),FARMAKAS,,,,,1,10,30.2,,37.8,18.3,5.5,1.5,41.0,19.0,11.0,,,,29.0,0.0,,,2.829442,,
2026-07-28T17:00:00+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28T17:05:23.730029+00:00,2026-07-28 20:00 (Local Time),FARMAKAS,,,,,1,10,26.5,,37.8,18.3,4.1,0.4,2.0,0.0,27.0,,,,41.0,0.0,,,2.10922,,
2026-07-28T18:20:00+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28T18:23:53.251988+00:00,2026-07-28 21:10 (Local Time),FARMAKAS,,,,,1,10,24.8,,25.3,24.7,0.6,0.6,2.0,0.0,232.0,,,,43.0,0.0,,,0.308666,,
2026-07-28T19:50:00+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28T19:57:56.815356+00:00,2026-07-28 22:50 (Local Time),FARMAKAS,,,,,1,10,23.1,,25.3,23.0,2.7,1.4,2.0,0.0,154.0,,,,34.0,0.0,,,1.388999,,
2026-07-28T21:10:00+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-28T21:16:40.627872+00:00,2026-07-29 00:10 (Local Time),FARMAKAS,,,,,1,10,24.4,,25.3,22.7,3.4,0.9,2.0,0.0,127.0,,,,34.0,0.0,,,1.74911,,
2026-07-28T22:10:00+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-28T22:18:29.140535+00:00,2026-07-29 01:10 (Local Time),FARMAKAS,,,,,1,10,23.7,,25.3,22.7,1.8,0.9,2.0,0.0,111.0,,,,35.0,0.0,,,0.925999,,
2026-07-28T23:20:00+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-28T23:27:24.364687+00:00,2026-07-29 02:20 (Local Time),FARMAKAS,,,,,1,10,22.9,,25.3,22.7,1.9,1.5,2.0,0.0,138.0,,,,37.0,0.0,,,0.977444,,
